fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
156908f222a8f726ba 96596EDF9FDFC2308DBB067E9BF0DFE61EE5D06F,330,330,330,330,408,408,444,444,444,444,444,444,444,444,444,444,330,330,330,330,330,330,330,330
15T01 7E317CFA44E7B6013DE4BC5F837C376A77179C72,8600,8600,8600,8600,8600,8600,8600,8600,8600,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500
1804m1 22E1D1DB4723A174E713B1BF4073DAC1C25351B3,1790,1790,1710,1710,1710,1710,1710,1710,1790,1790,1790,1790,1790,1790,1790,1530,1790,1790,1790,1790,1790,1790,1790,1790
19dotrs 3FF0DD5AC13713D319E09C40E93E0D26717B851D,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440
1EpHny 3CCA722A0DB4E676B96109D61C4E9DCF2F0009EB,11000,11000,11000,12200,12100,12000,12000,11900,11800,11700,11700,11700,11700,11700,11800,11900,11900,12000,12100,12100,12200,12300,12400,12400
1MalaysiaRelay 8A33FD6885DD67411CEC3549D1A2166807847571,654,592,592,592,592,567,567,567,567,567,567,567,550,550,550,550,550,550,550,550,550,550,550,548
1TD 5E3AAA2790A3E84FE95738253B55E8BCDF608A70,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,420,416,416
1chandotus 7DB8443AE29FBC450D34E55FA914F42BF929EE49,4730,4740,4730,4720,4700,4690,3800,4420,4400,4300,4300,3800,3800,3900,3900,3900,3900,3900,3900,3900,4200,4220,4240,4240
1d1dchang3th3c0nf1g 79B207AD51842FA215D956B9307B3D01CD347368,8300,9750,9740,11000,10800,10700,10600,10600,10500,10500,10500,10500,10500,10500,10500,10600,10600,10700,10700,10800,10900,10900,10900,11000
1d1dnt3d1th3c0nf1g 8E3D3C5B64A8DAD9152687C93CDCE1D98CC5E325,460,460,460,460,460,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
1h38zmpksr 4C114825C2EAD6D1B4B8D789C557F29F71096A01,94,94,94,112,112,112,112,112,112,112,112,112,111,111,111,111,111,111,111,111,111,111,111,111
1torexit AED4A69836630A3375845006B5AAD03BFA3F96DC,3870,3860,4400,4390,4250,4230,4210,4180,4150,4130,4120,3750,4030,4030,4050,4070,4080,4090,3700,3700,3700,3700,3700,3700
2000me 510F14B2EFFA8CA4131F09081CD6982C614EA508,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
21b 7D31D5118D47BF86C550ABB79EDDE865EC31B67F,18000,18000,18000,18000,18000,18800,18800,18800,18800,18800,18800,18800,18800,18400,18500,18700,18800,18900,19000,19100,19200,18800,18200,18200
2501 76FFDF3CC158873643942AEA9F7A2520D3086842,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2600cityoflondon F7BA4C490EF77200DB35EE75DF44EAC54DA65D79,23,23,23,19,25,25,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,22,22,22
2677a7e02981a0ba6d 7993B8B29B5B18CA91936E316566B955C7D4109D,417,417,417,417,338,338,338,338,338,338,338,338,338,338,338,338,347,347,347,347,347,347,347,370
26resistance CF1158FE7DF19DFC8BF845E1A2D31FE86C344FE2,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1240,1240,1240,1240,1240,1240,1240,1240,1240
28481fc43bbb5a7609 BF7599FEBFBF9E02A9E3E4B8BEE12B038D0A41BC,89,89,89,89,89,89,89,89,89,89,89,78,78,78,78,78,78,78,78,78,78,78,78,131
2B D99D156FEAFBCA3BDEBA81958FB110143620CF33,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,34500,37000,37000,37000,35000,35000,35000,35000,35000,35000,35000,35000,35000
2Contribute A98ADD972045D3CCAEE65C788C3F175BAEA3E324,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,11200,11200,11200,11300,11300,11400,11400,11500,12000,12000,12000,12000
2HG 33DBA330433E2915BD0EE66787A48863C818C0BB,800,800,800,800,800,800,800,750,750,750,750,750,750,750,750,750,750,810,860,860,860,860,860,860
2degrees 8F7AF563302B14E0A38784E6D96D995D16C80697,640,640,640,640,640,640,640,640,562,562,562,562,562,562,562,562,562,540,540,540,540,540,530,540
2fast4you2 FA017266AD102BFF9024DC2909E2F0BB6FCCB3FF,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
2livebrew 53B8B5C2A33C489B54300D558BFEE2C3B12F3875,3700,3700,3600,3600,3600,3200,3200,3200,3200,3200,3200,3010,3010,3010,3010,3010,3010,3010,2380,2400,2400,3010,3010,3010
2tangy 3723B855A12B48E6A9CE1BF7D90EA116900B819A,4000,4020,4010,2390,2390,2390,2390,2390,3070,3070,3080,3070,3090,3110,3120,3120,3140,3170,3180,3220,3230,3260,3290,3310
324partyvan 91BA193FB362FB7B6679A7A83A3050F3C44A5468,43700,43700,43600,43500,43200,43000,42800,42400,42200,41900,41900,44500,44400,44400,44000,44000,44000,44000,44000,31100,31100,31100,31100,31100
32b7a09ff9cc68ca1a 8439E0B8A4DA580C0C061920FF6BC3CB66C769DA,279,279,279,279,279,279,290,290,290,290,290,290,290,290,290,290,360,360,360,360,360,396,396,396
3735928559 A96DA63E4415E776FBFCCF3DA7154C804534B6E7,0,0,0,20,20,1400,1390,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1150,1150,1150,1150,1150,1150,1150
3a07dbc8ceae47a08b CB6D9B6B1ED3E0186E3019EFA8AA34E7E57913C0,16900,16900,16900,16900,16900,16900,16900,16900,16900,16900,16600,16600,16600,16600,16600,16600,16600,16700,16800,16900,17000,18100,18200,18300
3a1e15e78d122ef84f 547A294A7C71B47F6FE6B37AABD20E5C896B227F,553,553,553,553,553,553,625,625,625,625,625,625,625,625,625,625,625,625,397,397,397,397,397,397
3cce3a91f6a625 18B160CD5E22BFC345AEE7BA84B7EA45BF457FCA,43400,43400,43300,43200,42900,42700,42500,43000,43000,41700,41700,41700,41700,41700,41800,42100,42400,42700,42800,43000,43400,41700,41700,41700
3gr356 A96B386635FD784DF705D6BA965716A99FC72B36,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
3tudK4Nde8iQ 1D5A20A47771B80995711E20195A21ECB173E1C2,11000,10900,11000,11000,10900,10200,10200,10200,10200,9300,9300,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
3zpzl3mnsqzy D39F66DE4910D3AE1C3415E4501219D3B99E184E,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
420blaze 9E866F30B791ACB79ED280D3197D999CBA85A6EF,10700,12300,12300,12200,12000,11900,11800,11700,11700,11700,11700,11700,11700,11700,11700,12000,12000,12000,12000,12000,12000,12000,12000,12000
42e7b73f33ff22cfc9c 885CFB6921E6E7716BB64783348DDB06E17E5B5A,16600,16600,16500,16500,16400,16300,16200,16100,16000,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,15500,15600,15600
456c 16DB78459B845F4E728405EB694E32929E2B318A,4700,4700,4700,4700,6390,6340,6260,6230,6210,6200,6190,6200,6200,6220,6220,7070,7070,7070,7070,6650,6660,6730,6800,6820
456f B9233588917C5F6B7DA771118707090591BC4C87,11000,11000,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,9670,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4YReUEdN F91BCC34CB3F7D2E9546094712FCE67299082E8A,665,665,665,665,665,665,665,665,665,665,665,665,618,618,618,618,618,618,618,618,618,618,665,665
4istheloneliestnum 790FABD5184E98F89908404233364C940A4881EC,3100,3100,3100,3170,3170,3170,3170,3170,3170,3170,3200,3200,3200,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170,3170
4pyro2eu3org0 03E9F7E669C8F911C5EEC3EC094533151F857420,2300,2300,2300,2300,2300,2300,2300,2300,2500,2350,2350,2350,2350,2400,2400,2640,2640,2640,2640,2640,2640,2640,2640,2350
