datetime,relay,rtt
2020-03-07 03:33:24,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,25.841478733104495
2020-03-07 03:33:44,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,19.719920696859543
2020-03-07 03:34:07,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,21.157893337067634
2020-03-07 03:34:31,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,31.126197810067225
2020-03-07 03:34:54,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,43.60880453324929
2020-03-07 03:35:18,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,51.085152049989865
2020-03-07 03:35:41,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,50.06408309612456
2020-03-07 03:36:01,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,42.37194870529603
2020-03-07 03:36:22,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,32.74454306145265
2020-03-07 03:36:43,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,25.62345105260877
2020-03-07 03:37:03,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,23.087922852226924
2020-03-07 03:37:24,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,24.445779741522
2020-03-07 03:37:44,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,27.428768730277653
2020-03-07 03:38:05,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,30.17334521494147
2020-03-07 03:38:25,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,32.262247654172725
2020-03-07 03:38:46,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,33.72709628143832
2020-03-07 03:39:06,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,33.22082596240749
2020-03-07 03:39:27,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,28.010742090845227
2020-03-07 03:39:48,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,16.81822398189577
2020-03-07 03:40:11,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,3.0249935190957853
2020-03-07 03:40:35,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,-5.81964164459732
2020-03-07 03:40:58,5FB384605F53DCBF1CB02143D318DA3E8EE38A24,-3.3007750657301473
