fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0xygen 7F1A90F3E4A6A2EE347274F8E91514D18350C016,298,392,392,392,392,392,392,392,392,392,488,488,488,488,488,471,471,471,250,250,380,380,389,389
1001nybrgsvgn17 E78B8256253D0C45E5ECDE44B328863AB5123050,150,150,150,150,133,133,133,133,133,133,133,133,133,130,130,130,153,153,153,153,153,153,153,153
111f5dfe06e6b0d620 D2B279F7CF20730A91F76CF9D2BAA5F0419B6B85,97,97,97,97,97,97,97,97,97,82,82,80,81,82,82,81,82,82,82,82,82,82,82,81
123456 BE1C106A570EC72440159EAD6192D761A2E83A8C,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1505192200300605 C67C33C76CDC33DD72FAA77535B48D7E96C006D2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
156908f222a8f726ba 96596EDF9FDFC2308DBB067E9BF0DFE61EE5D06F,120,120,120,147,147,147,147,147,147,147,154,154,120,120,120,153,153,153,153,153,153,153,153,120
15T01 7E317CFA44E7B6013DE4BC5F837C376A77179C72,9370,9380,9370,9360,9310,9240,9160,9140,9100,9100,9080,11000,11000,11000,11000,14500,14600,14700,14700,14800,14800,14900,15000,15000
1611849807437341 320C801BD102F09A1933C1B0A23A553914999070,1320,1320,1320,1320,1320,1320,1320,1320,1320,1640,1640,1640,1930,1930,1930,1930,1980,1980,1980,2000,2000,2000,2000,2000
1804m1 22E1D1DB4723A174E713B1BF4073DAC1C25351B3,1600,1600,1600,1430,1430,1430,1430,1430,1430,1430,1430,1550,1490,1490,1600,1750,1750,1750,1750,1750,1750,1750,1750,1750
18cd7354bd014e9e96 DE2E06FE67EAC9DD772ECB85A1FC3E037F1DAA11,2600,2960,2950,2950,2930,2910,2890,2880,2870,2870,2860,3010,3010,3020,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
19dotrs 3FF0DD5AC13713D319E09C40E93E0D26717B851D,4540,4550,4550,4560,4550,4530,4710,4710,4740,4720,4740,4740,4750,4770,4790,4790,3930,3930,3960,3980,4020,4060,4090,4110
1EpHny 3CCA722A0DB4E676B96109D61C4E9DCF2F0009EB,19000,19000,17200,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19900,19900,20000,20000
1MalaysiaRelay 8A33FD6885DD67411CEC3549D1A2166807847571,430,430,442,442,442,442,442,442,442,442,442,442,430,430,430,378,378,378,664,664,664,664,664,664
1TD 5E3AAA2790A3E84FE95738253B55E8BCDF608A70,477,477,477,477,477,477,477,641,641,732,732,732,732,732,732,732,732,732,732,732,732,732,539,478
1chandotus 7DB8443AE29FBC450D34E55FA914F42BF929EE49,4000,4000,4000,4000,4000,4000,4000,4000,4000,3820,3820,4000,4000,4000,4000,4400,5000,5000,5000,5000,5000,5000,5060,5080
1d1dchang3th3c0nf1g 79B207AD51842FA215D956B9307B3D01CD347368,10600,10700,10600,10600,10600,10500,10400,10400,10300,10300,7500,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
1d1dnt3d1th3c0nf1g 8E3D3C5B64A8DAD9152687C93CDCE1D98CC5E325,607,607,607,607,607,607,607,607,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598,598
1h38zmpksr 4C114825C2EAD6D1B4B8D789C557F29F71096A01,43,43,43,43,43,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
1torexit AED4A69836630A3375845006B5AAD03BFA3F96DC,7100,7100,7960,7830,7800,7740,7670,7650,7620,7620,7600,7600,7100,7100,7100,7000,7760,7810,7810,7820,7850,7870,7880,7880
2000me 510F14B2EFFA8CA4131F09081CD6982C614EA508,19000,19000,19000,19000,19000,19000,19000,19000,21000,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500,21500
21b 7D31D5118D47BF86C550ABB79EDDE865EC31B67F,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,15700,15800,15800,15900,16000,16000,16100,16200,16200,16300,16000,16000
22c7676e678bb03519 8EF77FD0091B4221AB59C62630C5D54F66E4C7CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501 76FFDF3CC158873643942AEA9F7A2520D3086842,37,37,37,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,35,35,35,35,35
2600cityoflondon F7BA4C490EF77200DB35EE75DF44EAC54DA65D79,21,21,20,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21
2677a7e02981a0ba6d 7993B8B29B5B18CA91936E316566B955C7D4109D,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,159
26resistance CF1158FE7DF19DFC8BF845E1A2D31FE86C344FE2,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1000,1000,980,980,980,980,980,980,980,980,980,980
28481fc43bbb5a7609 BF7599FEBFBF9E02A9E3E4B8BEE12B038D0A41BC,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
28bee87529fd59a5d0 BB72E16626AA27FD4FBF62A556CACC40D4A2563F,20,20,20,145,127,127,147,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2B D99D156FEAFBCA3BDEBA81958FB110143620CF33,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,33800,33800,33800,30900,30900,30900,30900,30900
2Contribute A98ADD972045D3CCAEE65C788C3F175BAEA3E324,16500,16600,18300,18300,18200,18100,17900,17900,17800,17800,17700,15900,15900,15900,15900,18100,18200,18300,18400,18400,18500,18600,18700,15600
2HG 33DBA330433E2915BD0EE66787A48863C818C0BB,895,895,895,895,895,895,895,895,895,895,895,1040,1040,1040,1040,1040,1000,1000,1000,1000,1000,1000,1000,1000
2degrees 8F7AF563302B14E0A38784E6D96D995D16C80697,1240,1240,1240,1240,1100,1100,1100,1100,1100,1100,1100,1100,1100,1090,1090,1090,1210,1210,1210,1210,1210,1210,1210,1210
2fast4you2 FA017266AD102BFF9024DC2909E2F0BB6FCCB3FF,14600,14700,16300,14100,14000,14000,14000,14000,14000,14000,14000,14000,14100,14100,14200,14200,15000,15000,15000,15000,15000,15000,15000,15000
2livebrew 53B8B5C2A33C489B54300D558BFEE2C3B12F3875,4600,4500,4500,4500,4500,4430,4440,4440,4880,4860,4880,4870,4890,4910,4930,4940,4970,4990,5000,5030,5050,5060,5090,5110
2propstor D76E1FDC7A3D899282BB882F74111B36A6D14B64,8100,8100,8100,8100,10100,10000,9940,9910,8100,8100,8100,8100,8100,8500,8500,8500,8500,8500,8500,8500,8500,8500,9980,10000
2tangy 3723B855A12B48E6A9CE1BF7D90EA116900B819A,6600,6600,6500,6500,6500,6500,6500,6500,6300,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6410,6440,6450,6490,6520
324partyvan 91BA193FB362FB7B6679A7A83A3050F3C44A5468,37000,37000,36900,36700,36600,36300,33900,34200,35500,35500,35300,35200,35200,35400,35500,35700,34000,34300,34400,34500,34600,34800,35000,35100
32b7a09ff9cc68ca1a 8439E0B8A4DA580C0C061920FF6BC3CB66C769DA,210,210,151,151,151,151,151,151,151,151,151,151,136,136,136,136,136,136,136,136,136,136,136,136
3735928559 A96DA63E4415E776FBFCCF3DA7154C804534B6E7,12000,12500,12500,12500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
3a07dbc8ceae47a08b CB6D9B6B1ED3E0186E3019EFA8AA34E7E57913C0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,16000,16000
3cce3a91f6a625 18B160CD5E22BFC345AEE7BA84B7EA45BF457FCA,48000,47000,47000,47000,44000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000,49000
3gr356 A96B386635FD784DF705D6BA965716A99FC72B36,22,22,22,22,22,22,22,22,22,22,22,22,22,21,18,18,18,18,18,18,18,18,18,18
3sKtjMnoiZAIGz07 BC2C966F06B1CE4121F906EF1B35D025C43C2964,703,703,703,703,703,703,703,792,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649,649
3zpzl3mnsqzy D39F66DE4910D3AE1C3415E4501219D3B99E184E,850,850,850,850,850,850,850,850,850,850,850,850,850,840,840,840,840,840,840,840,840,840,840,840
420blaze 9E866F30B791ACB79ED280D3197D999CBA85A6EF,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12200,12300,11100,11100,11100,11200,11300,11400,11500,11600
42e7b73f33ff22cfc9c 885CFB6921E6E7716BB64783348DDB06E17E5B5A,19200,19200,19100,19000,18900,16000,16000,18100,18100,18400,18300,17600,17700,17800,17900,17900,18000,18100,18100,18200,18300,18300,18400,18500
42isNotTheAnswer 53AE17B558DFA2EAF551B650F6260B3E31FBEAD0,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2300,2300,2300,2300,2300,2300,2300,2300
456c 16DB78459B845F4E728405EB694E32929E2B318A,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3200,3200,3900,4370,4400,4430,4490,4550,4590,4610
456f B9233588917C5F6B7DA771118707090591BC4C87,9600,9500,9500,9500,9500,9500,8610,9200,9200,9200,9200,9200,9200,9200,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
4663334194545314 350AB72B8744CC40ED8699E6D3298CB14215F568,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1980,2160,2160,2160,2160,2160,2160,2160,2160,2160,1820,1820
4YReUEdN F91BCC34CB3F7D2E9546094712FCE67299082E8A,596,596,596,596,596,596,596,596,596,596,596,596,596,710,710,710,710,710,710,710,710,710,710,710
4istheloneliestnum 790FABD5184E98F89908404233364C940A4881EC,3740,3740,3740,4000,4000,4000,4000,4000,4000,4590,4560,4560,4560,4550,4540,4660,4800,4800,4800,4800,4800,4800,4800,4800
4pyro2eu3org0 03E9F7E669C8F911C5EEC3EC094533151F857420,1940,2400,2400,2400,2400,2400,2400,2400,2260,2260,2250,2240,2240,2240,2240,2240,2240,2240,1930,1930,1610,1610,1610,1610
4zuwhp F5F76C12B07AC124B3B02E03AC526D6F1B20EB77,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
51Pegasib 9C199F99B10EB9CB6E1E1F7DD329991D8AA7CD4A,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
555nase 597422ADDADAF5FB2727369B7EFC7AA76B89D613,5800,6630,6630,5840,5840,5840,5840,5840,5700,5700,5840,5840,5840,5840,5840,5700,5700,5690,5690,5690,5690,5690,5690,5690
562d63c90dd4dbaf32 E6CAC5065C4E730597C4A1BC183DC15F98B0AEE6,20,20,20,148,148,148,148,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
56kmodem E09FFE941E288EA8809F6CD40D9AD1BD3BAB9EAA,74300,74500,74600,74600,74400,74100,71200,71100,71400,71200,51700,51700,51900,55500,55700,55800,56200,56300,56500,56800,57100,53000,53000,53000
5705860553591637 5847D5A01C47166143F738C7703344517B39EB10,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1410,1410,1410,1410,1410,1410,1410,1410,1410,1410
5b82I0IfxsHI7ekh 15AE6FFE0E245A820D4F74EA64B4C304EE555C1D,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1300,1300,1300,1100,1100,1100,920,920,920,920,920,920,920
5efd8dd DC79C9D75CFD7A91F9232922E05D225CBDCB7703,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000
5fd811a4 DBFD22903D0EED29BC2D1EA557D93E6DEDA3DCAE,38000,38000,38000,38000,38000,38000,42900,42900,43000,42900,42900,42800,42800,43000,43000,43000,43000,44000,44100,44300,44500,44500,46000,44800
5fd833a9 A994EF2BB269BEB58F137B8F0FEE256745AEFF51,23000,23000,23000,23000,21000,21000,21000,21000,21000,23000,23000,23000,23000,23000,21300,21400,21500,23000,23000,23000,23000,23000,23000,23000
5fd833ab 113184F9855AECB1D9BF3230A07408EC2767A62B,27000,27000,27000,27000,27000,27000,27000,27000,28200,28200,28100,28100,33000,33000,33000,33000,33000,32000,32000,32000,32000,30000,30000,30000
5fd833ae D3A8FEB88169C3B5859D9BC38E2CA465206475C7,25300,25300,25200,25200,25100,25000,25000,24900,25000,25000,25000,25000,25100,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
5iwek B3FCF2FD6554F8980206EBDF1AF2860195C245B8,17000,17000,17000,17000,17000,16800,16800,16800,16900,16800,16900,16900,16200,16000,18000,16500,16600,16700,16700,16800,16800,16900,16900,17000
5p33dy 55A6183B28CD17164637889DB19B0888DC231D46,570,570,570,570,570,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704
61626c B9202D61DAEBD19503AB96BB4A575AA8EE5BF03B,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13
64b80939d24f6bdbd1 CB75C628460494EFAFDC41C744F9E050C0FF18C3,96,96,96,96,96,96,96,96,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
65a0663df362a99655 30B9B2578EBDE51EA49DD5A56F965B992A7185B8,81,89,89,89,89,89,89,89,89,89,82,82,82,82,82,82,82,82,82,82,82,82,82,82
6mctr01 60820A2820446DD90E068ED3E121497C809F3D65,18100,18100,18100,18100,18100,18000,23800,23800,23800,23800,23000,23000,23000,23000,23300,23300,23500,23600,23700,23800,23900,23900,24100,24200
72ab8f63bbd93503 DB58ED50E920C51F5C1A044E6A04BA669B14CFD2,268,268,249,249,249,249,249,249,249,249,249,249,249,249,240,240,240,240,240,240,240,240,240,240
7GKgoJso FA6ABE03527CA0B2D1E36939F7CCBE1982AB6EAD,1270,1270,1270,1270,1270,1270,933,1240,1240,1240,1240,1240,1240,1240,1010,1010,1010,860,860,860,860,860,860,860
7fach BCB14DE52207E4F5C9B565466E20B68C17993B89,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
82509811a 6FCF3E02F12F6C39FCF4ADA48D4C81FB9AC6B4E5,6800,6900,6800,6900,6900,6800,6800,6800,6200,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
82509811b EA7E39E4B2DBB0405BBC05E0B3AE1058E5A7623F,19100,19100,19100,19100,19100,21000,20300,20300,20300,20300,20300,20300,20300,19100,19100,19100,19100,18000,18000,18000,18000,18000,18000,19100
8a88a6ccfa35f11950 15FACFCA2A5C4AC051C70B713B299F409CEDF494,220,210,147,147,147,147,147,147,147,147,172,172,172,172,172,172,172,172,172,172,172,172,210,210
8ac97a37 014E24C0CD21D2B9829E841D5EC1D3C415F866BF,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,153000,154000,155000,155000,156000
8af34cb1 C9D02B1644BD47C136E379FDFAF4973D1A1CE07C,18900,18900,18800,18700,18700,18500,18300,18200,18100,18100,18000,18000,18000,18100,18100,18200,19000,19000,19000,18000,19000,19000,19000,19000
8e72e9291ec761e21a 1857377741A5702D1A1607EA013A5484C24CF12D,84,84,84,84,84,84,84,84,84,84,84,81,81,81,81,81,81,81,81,81,81,81,81,81
8lyWARGTU4wesrfy8i 0882440874034AFBE2FBF16463A290F3278E24F7,508,508,508,508,355,355,355,355,355,355,355,355,355,355,355,355,355,355,300,300,300,300,300,584
8rijgto8 8404E8B8AAB98208FAEFB1727B637133AD9C6FAF,67000,67000,67000,67000,67000,62000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000,59000
927113644f516e1055 34D5B34D4B5DE7C2DDA6C6D98322A3A3D550B04E,20,20,20,151,153,153,153,120,130,120,120,120,120,120,120,120,120,120,120,120,120,130,120,120
9500 DFF9E741D00F74998FE83CD6260EE4D9E0B0DBFA,6540,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,7810,7810,7810,7810,6670,6670,6670,6670,6670,6670,6670,6670
9S 43631E434ABF180B4BB65C52EB851B8785D2AF00,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,24700,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600
9a131cdb64587749f7 BCA929C981CC0C7E1BC031A95DDD6F3AA999603E,78,114,114,114,114,114,78,83,93,93,93,93,93,93,93,93,93,93,93,93,149,149,149,162
ABCVG 1A020A414D8AB25F54415C8C1E75A5562A9DD9A6,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
ACAbeehive C4F0E2F67DC6D3B9FDFA895361F649B8E99774DD,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3050,3060,3080,3090,3200
ADEL ABF554C44C97825F46B1C9DEE14A2E2B62025D7E,1160,1160,1160,1160,1160,1160,1160,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230
