,date,time,anchor,relay,rtt
0,2020-03-06,12:32:00,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,57.76548500000001
1,2020-03-06,12:32:22,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,56.70166
2,2020-03-06,12:32:43,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,56.005
3,2020-03-06,12:33:05,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,48.15197499999999
4,2020-03-06,12:33:26,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,59.93997999999999
5,2020-03-06,12:33:48,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,67.331795
6,2020-03-06,12:34:10,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,40.414210000000026
7,2020-03-06,12:34:31,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,40.571095000000014
8,2020-03-06,12:34:52,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,46.412590000000016
9,2020-03-06,12:35:13,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,48.021435
10,2020-03-06,12:35:35,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,87.38911000000002
11,2020-03-06,12:35:56,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,60.611485000000016
12,2020-03-06,12:36:18,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,128.484965
13,2020-03-06,12:36:43,99339F3E68BCCC1391BF14C821D80766FE0C5956,3DCA95587F917F3F212B598731B97BDB85BFEE92,68.41659000000004
