data,time
59.22300162069084,12:32:00.086718
59.847107025696666,12:32:22.055969
60.40995009360215,12:32:43.788800
60.898713257335345,12:33:05.401925
61.30091682248551,12:33:26.886681
61.604777607597285,12:33:48.781954
61.799652259981514,12:34:10.341261
61.87655366258883,12:34:31.416121
61.82871647979557,12:34:52.566980
61.652175712241586,12:35:13.813015
61.34631153408625,12:35:35.380318
60.914306586452604,12:35:56.541505
60.36346043739406,12:36:18.923486
59.70531169626088,12:36:43.239698
58.955531544353285,12:37:04.573109
58.133571706755234,12:37:26.395637
57.262072164846884,12:37:47.558829
56.36605572143622,12:38:09.005797
55.471955033234856,12:38:30.526558
54.60653126255332,12:38:51.837340
53.79575143210285,12:39:13.472282
53.06369379425399,12:39:35.286191
52.43154720187854,12:39:56.420700
51.916762040131246,12:40:17.862219
51.532397687675,12:40:39.338300
51.28669622119288,12:41:00.469544
51.18289599684589,12:41:21.874807
51.219283569751106,12:41:42.953225
51.389469317712326,12:42:03.938793
51.682861521913885,12:42:25.359764
52.08530537635528,12:42:46.503281
52.579847232779365,12:43:07.780110
53.147580392624796,12:43:29.741396
53.76852715489601,12:43:50.904984
54.422512635437954,12:44:12.221715
55.089988715315286,12:44:33.295817
55.75277081397264,12:44:54.779779
56.39465566370079,12:45:16.073489
57.00189481713579,12:45:37.129524
57.563506287602976,12:45:58.584776
58.07141546473875,12:46:21.426053
58.52042612401326,12:46:43.193003
58.908032757637145,12:47:05.382990
59.23409622363985,12:47:28.373575
59.50041495585781,12:47:50.888489
59.71023210760751,12:48:12.306826
59.86772320089579,12:48:35.360835
59.977508133948525,12:48:57.392039
60.044226326424884,12:49:19.166604
60.07220615669188,12:49:41.065737
60.06525156755547,12:50:02.445070
60.02656067428647,12:50:23.927673
59.95878298937955,12:50:46.282507
59.86421238708352,12:51:07.649246
59.74510135882493,12:51:30.773144
59.60406865167253,12:51:52.391206
59.444558444813886,12:52:13.680450
59.27129710470156,12:52:35.159246
59.090685694600104,12:52:56.623227
58.911064593917025,12:53:20.983003
58.74279182389784,12:53:43.123710
58.59808960039363,12:54:06.518121
58.490634435820944,12:54:30.036322
58.434893568094736,12:54:51.155963
58.445241041771176,12:55:12.266137
58.53491516313378,12:55:33.608638
58.71490042149212,12:55:54.743477
58.99282849506635,12:56:16.400207
59.37199415511725,12:56:37.819009
59.85057389154377,12:56:59.561296
60.421119789180786,12:57:20.807053
61.07038054381875,12:57:42.306129
61.77947734412123,12:58:03.742431
62.52443656342523,12:58:25.641662
63.27705604835366,12:58:47.637057
64.00605976071195,12:59:09.113421
64.67847885360828,12:59:31.586531
65.2611870593987,12:59:54.098628
65.72251379507405,13:00:16.659754
66.03385719289041,13:00:38.462857
66.17121868185049,13:00:59.674137
66.11657984558332,13:01:20.910525
65.85904248086037,
65.39565682501237,13:02:05.442260
64.73187346445746,13:02:28.097413
63.881573115924716,13:02:50.039640
62.86665517428948,13:03:14.782123
61.716198042353014,13:03:37.983877
60.465236830146495,13:03:59.763324
59.15323148860574,13:04:21.100691
57.8223170997138,13:04:42.090250
56.515437005864186,13:05:03.756636
55.27445995876024,13:05:24.980776
54.138376639663925,13:05:45.996478
53.14166103311063,13:06:09.471835
52.31287016866309,13:06:30.853952
51.67354280123037,13:06:52.247837
51.23744380303886,13:07:14.454910
51.01018596022326,13:07:36.726089
50.989244270505246,13:07:57.936387
51.164360056780815,13:08:19.539767
51.51831395609079,13:08:40.883827
52.028028922190416,13:09:03.642706
52.66594764709452,13:09:25.360314
53.40161421606634,13:09:46.990796
54.203378406904875,13:10:08.450150
55.04013391281228,13:10:31.022738
55.88299988610622,13:10:52.970413
56.7068591323385,13:11:15.350407
57.49167584762647,13:11:37.317882
58.22352989244462,13:11:58.599917
58.89532140437726,13:12:20.061956
59.50711708707083,13:12:41.242414
60.066126323444905,13:13:03.317645
60.586310733210304,13:13:25.243404
61.087644966734885,13:13:46.671980
61.59505970625568,13:14:10.231627
62.137110180832025,13:14:32.575434
62.74442468840834,13:14:54.940457
63.447997067556436,13:15:18.957252
64.27739448912274,13:15:41.878574
65.25895766862067,13:16:06.166230
66.4140750420275,13:16:29.520008
67.75761517518617,13:16:51.169774
69.2966010947868,13:17:12.470517
71.02920425613452,13:17:33.983153
72.94412315226108,13:17:55.480663
75.02039240282106,13:18:16.895386
77.227644538253,13:18:39.108769
79.52682168741447,13:19:01.098613
81.87131114423926,13:19:22.939547
84.20845963867698,13:19:44.421886
86.48140683094181,13:20:08.974712
88.63116796026628,13:20:32.618368
90.59888618852419,13:20:54.383776
92.32816475077853,13:21:16.342774
93.76737749075576,
94.87184619912283,13:22:00.678139
95.60576812979588,13:22:26.204692
95.94378071150506,13:22:48.529860
95.8720655480498,13:23:24.946492
95.3889216537495,13:23:56.151845
94.5047770191711,13:24:24.343703
93.24165253543687,13:24:47.440725
91.63213467672743,13:25:09.031764
89.71794562321621,13:25:32.542550
87.54821809365598,13:25:56.154325
85.17758741055178,13:26:17.404659
82.66420761969492,13:26:39.276838
80.06778479847829,13:27:06.087553
77.4477022805542,13:27:27.878122
