fingerprint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Freedom DF5AAF1D355411F2BB9E8304BDBD810071333F1D,14000,12400,14000,12300,12300,12300,12200,12200,12200,13200,13200,13000,13000,13200,13200,12000,13300,12000,12000,12000,13500,12000,12000
Freedom4All 65F223021B909BE04BD29EA5EF58D4F53A517C7E,3440,2800,3440,2620,2610,2590,2580,2580,2570,2800,2800,2800,2800,2690,2690,2700,2710,2730,2740,2750,2710,2720,2730
FreedomBoxOL 3CA361075B0AB77071989948846876B3B2265BA4,3850,3600,3850,3600,3600,3600,3850,3850,3850,3850,3850,3850,3850,3850,3600,3600,3600,3600,3600,3600,3560,3560,3560
FreedomForParrots2 C0E6A667064385B9CB5A685CEB06B85EDDA6AA00,13600,13000,13600,13000,13000,13400,13400,13400,14000,14000,14000,14000,14000,15000,15000,14000,15000,13500,13500,14000,15000,14000,14000
FreedomForSnowden CC0107079F459D6B45EA0A40A00087D8D23D25BE,260,260,526,259,259,259,259,259,259,259,259,259,259,452,452,259,452,259,259,259,452,220,220
FreedomFries2 1C0736CF3744A3B87C2D2269B8BD3388C7E60552,58000,55600,58000,55400,57100,56900,56600,56500,56300,56200,56200,56300,48000,56200,56200,48000,56600,48000,48000,48000,47000,47000,47000
FreedomIsWon 5B3EC887418596BBE9A291C2A845A4EFF8AB05B8,5140,5160,5150,5150,5140,5130,5110,5110,5080,5080,5080,5080,5080,5340,5340,5340,5340,5340,5340,5340,5340,5340,5950
FreedomPanda D24FB714345D4B9061CEA89ACBAD343081F14928,15200,15200,15200,15100,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,16000,16000,16000,17000,17000,17000,16000
FreedomPanda EFE48A6A2A02B68D1767C13B9646FA62EA8310B2,12000,12000,12000,12000,12000,12000,12000,11600,13000,13000,13000,13000,13000,11500,11500,11600,11600,11700,11600,11600,11700,11800,13000
FreedomSandwich E0ACDCEBB9D632A9456ED80048D837C3B74B3B70,49000,44000,49000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,49000,49000,42500,49000,43000,43100,43200,49000,43900,43900
Freiheit 8B496F3EF3BF5CC32A4C20ECDBEC2A06E7EA4357,49000,48900,50000,48900,48900,48900,48900,48900,50000,50000,50000,50000,50000,52500,52500,50000,52500,50000,46700,46700,50000,46700,46700
FrenchFries 8BA1E6D8AA08F425B81DCF40310ABDBFA54B095F,2830,2840,2830,2780,2760,2740,2740,2740,2740,2420,2420,2430,2440,2440,2770,2770,2790,2800,2810,2830,2850,2880,2880
Friedrich D89267FB10BF625D31FF7687AF7D12B03BBF757C,12000,12000,12000,12000,12000,12000,12000,11200,11100,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,13000,13000,13000,13000
FriendlyExitNode F01E382DA524A57F2BFB3C4FF270A23D5CD3311D,7390,7100,7390,7100,7100,7100,7100,7100,7100,6900,6900,6900,6900,7390,7390,7000,7390,7000,7000,7000,7000,6900,6800
FritzWilhelm007 7DA31D79E52D12685BBE8544E3C557F176B0FC84,14100,14000,14100,14000,14000,14000,14000,14000,13600,13000,13000,13000,13000,13600,13600,13000,13600,13000,13000,13000,13800,13000,13000
Frodon22 5E2134CE8D3A3B7AA5E597B8EFE3E659B03C02B3,9600,9620,9600,9560,9520,9500,9510,9490,9470,9500,9520,9550,9570,11000,11000,11000,11000,11000,11000,11000,11900,11000,11000
FroggiePeppie C239952D0C8E4EABC3E6B0A8E0B623689174E3C6,28000,23000,28000,23000,23000,23000,23000,23000,23000,23000,23000,21000,21000,28000,28000,23000,28000,23000,23000,23000,23900,23000,23000
FsocietyLTD C7883E194DB45C552778B2EEEE46BFC092AAA9A4,30500,30000,30500,30000,30000,30000,30000,30000,30000,30500,30500,30500,30500,33500,33500,30500,33500,30500,30500,30500,30500,30000,28000
FuckBorisJohnson 4A10DC8D57F654F597A78F3774AF1F6243331861,2250,2200,2250,2200,2200,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,2250,1900,1900,1900,1900,1900,2100,2100
FuckCancer A2F580F93FA3D0DA373769614BD9B0C8A6C4623E,17000,13000,17000,13000,13000,13000,13000,13000,13000,13000,13000,11200,11200,13000,13000,11200,13000,11200,12000,12000,13000,12000,12000
FuckComcast 6A178B1A50DDF3E39C951C086BAF14B0912A923F,4460,4460,4460,4440,4420,4400,4380,4760,4740,4740,4740,4740,4740,4740,4740,4750,4770,4800,4820,4840,4850,4870,3980
FuckGoogle D39F2CD90A236F94A61B76616B4873329DA77888,9350,8800,9380,8800,8800,8800,8800,8800,8800,9500,9500,9470,9470,9500,9500,9480,9520,9500,9500,9500,9690,9400,9400
FuckTheNSA 157EE45A120A9B2F19673A80401BCD163EE61B45,93,90,93,90,90,90,90,90,90,90,90,90,90,96,96,78,96,78,79,78,96,78,78
FuckingRelayMe 20C831B856883F0AFB6052917595D6022D52B199,4670,4500,4680,4500,4500,4500,4500,4500,4500,4500,4600,4600,4600,4610,4610,4600,4620,4520,4540,4560,4580,4500,4600
Fuckthahelloutofme ED2BF11CB3C0205CADC94596DC688A5153FCAB35,18500,17000,18500,17000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18400,18000,18000,18000,18000,18000,18000,18000,18000,18000
FueledByCofe 06B7F2D06F8CBEC24B6F283F5F62E8FE003F8972,35000,33700,35000,33400,33300,35000,35000,35000,35000,34000,34000,34000,34000,35300,35300,35000,37000,35000,35000,35000,37000,34000,35000
Fuller 8967D7B73377DDB0762CB747B3F88977BF3B3D33,23,22,23,22,22,22,22,22,22,22,22,22,22,23,23,22,24,23,23,23,24,23,24
Fussy 3DC748C2DFF1F8E9DA5626BB3CBAAFF31D706C10,30000,23000,30000,29000,30000,30000,29000,29000,29000,29000,29000,29000,29000,30000,30000,28000,30000,28000,28000,28000,29000,28000,28000
Futanari 57341CE990FDA541CC9E4500D39BD0DC5FD89DF8,830,759,759,759,759,759,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830,830
FuzzyBoots F27CC27E291D45E484AF03F54D76BCE9756486C4,56000,56000,57400,55000,55000,55000,55000,56000,56000,55000,55000,55000,55000,57900,57900,55000,57900,55000,56000,56000,57900,55000,55000
GENESISPENGUIN A55E513A283DF2CD89FC1DED396B0AF4FC8F25F4,110000,94100,110000,93900,93700,93500,93300,93200,110000,110000,110000,110000,110000,110000,110000,110000,110000,105000,106000,106000,110000,107000,107000
GHOST BEBAA73CA66E5FDB0819EAE7388442482A4A04F9,1080,500,1080,490,500,500,500,560,560,460,850,840,840,1500,1500,850,1500,1500,1500,1500,1500,1500,1790
GKrvrs 803A0AF48210A6313C98C650F4DD9A716CE4574A,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GMoney B68A2E030E0092C4ED37D1CA6286CCDF1458AFD1,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,6600,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
GWMVultrRelay AD2060260080FE092DE928384E2514A1C596772F,480,450,480,450,450,450,450,450,450,450,450,450,450,480,480,450,480,480,480,480,480,480,480
Galactica A1FC8E424167AD70B6FA4953D9348BCD82CEB788,15700,14000,15700,14000,15300,15200,15100,15100,16000,16000,16000,16000,16000,17300,17300,16000,17100,16000,16000,16000,17300,16000,16000
Gamezone 5C11261B26A1E6D9FD7F9511BEE4CC29841ACBEF,14000,12000,14000,12000,12000,12000,12000,12000,12000,12000,11900,11900,11900,12000,12000,12000,12100,12000,12100,12100,12200,12200,12200
Gandhi F2AF93D23D91F9CFE03C5151DF01B0481BF99E12,3500,3000,3500,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GaoZhisheng 23B3EF4271E38A744E23ACC4345E56CBDB42A1A5,12000,10000,11000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
Garados D8837125F99559B5385B4A09DD7007951DD17B92,6150,6170,6150,6050,6000,5950,8800,8800,8800,8800,8800,8800,8800,9920,9920,8800,6010,6030,6050,5400,6100,5400,5400
Gargoyles FAE19F64F4C3B5351D95D1794CDC6A6AD0C8CB83,12000,11300,12000,11300,11300,11300,11200,11200,11200,11200,11200,11200,11200,12000,12000,11100,12000,11200,12200,12200,14000,12300,12300
Gaugor A3A6D9D7DBED00F7E6508B55D3449FF6B6C5DF90,5320,5100,5320,5100,5100,4800,5200,5200,5200,5200,5200,5200,5200,5700,5700,5200,5790,5200,5200,5200,6200,5200,5200
Geheimschreiber C69D24F9353E16D85E82B4A9E4571DFAF6DCF531,2380,2390,2380,2370,2360,2350,2340,2340,2330,2330,2330,2330,2330,2330,2330,2330,2100,2100,2100,2100,2100,2100,2100
GemuParty 1AE00CC246170EC2BE8B4E7C7784F3DF1CBDDF6B,4940,4800,4940,4800,4800,4800,4800,4800,4800,4800,4790,4790,4790,4800,4800,4790,4800,4790,4790,4190,4790,4190,4300
Genideb 177AA760E7F76B259CF26023D793188AE8DC9A6E,70,73,71,73,73,73,73,73,73,73,73,73,73,71,64,64,60,64,64,64,60,64,64
Geoff AE08D159352237844C60E0153AC8578320922FB8,3470,4100,4100,3530,3520,3520,3420,3420,3410,3420,3420,3430,3440,3480,3470,3450,3470,3080,3090,3110,3520,3530,2800
Geoff2 E767C3B8295AD79B02E80A21345C9F2B3C2AD7DB,6100,5350,6100,5340,5330,5320,5310,5300,5270,4900,4900,4900,4900,5800,5800,5800,5990,5800,5800,5800,5990,5800,5800
Geoff3 B081CA58EB9BBBEBDBF7E04B630F625D2002F401,7600,7560,7600,7540,7520,7510,7490,7480,7440,7440,7440,7440,7440,7430,7430,5390,7450,5450,5470,5480,7530,5530,4400
Geoff4 F1DAFFE96C61BBD34CB078E98BA50BF35C41AF08,7710,7000,7700,7000,7000,7000,7000,7000,7000,7000,6900,6900,6900,7900,7900,6100,8250,6400,6400,6400,8340,6400,6400
GeorgeIV 6CAD6AB6CCCB580AB345B2D789736B80E9AA02F4,7500,6210,7500,6200,6200,6200,6200,7300,7300,7400,7400,7400,7700,7800,7830,7300,7890,7300,7300,7300,8070,7300,7300
GeosCoolRelay 474648D2DFC1C060A5CA74C8A5976807B7FB5FE0,4300,4200,4300,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4300,4300,4200,3640,3660,3670,3680,3700,3710,4300
GermanCraft1 5665A3904C89E22E971305EE8C1997BCA4123C69,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,25600,27100,27100,30000,30000,30000,30000,30000,30000,30000,30000,27800
GermanCraft2 DB2682153AC0CCAECD2BD1E9EBE99C6815807A1E,25200,24000,25200,24000,24000,24000,24000,24000,24000,23000,23000,23000,23000,25000,25000,23000,25000,23000,23000,23000,25000,23000,23000
GermanCraft3 18CA9EA099BB9861E354D2A6FF49337A7E81C2F3,22300,19000,22300,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,24000,24000,22000,24000,22000,22000,22000,19000,19000,19000
GermanPeach 95A964842E11F9E33C432995811587742922DDD0,7600,6600,7620,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,7970,7970,6600,8460,6600,6600,6600,8550,7100,5700
GermanTrain E7D3A8AB72A1F835934D60153400F8FAECF6D474,15000,15000,17900,17000,17900,17900,17900,17900,19000,19000,19000,17000,17000,19400,19400,17000,19400,17000,17000,17000,19400,17000,16400
Gertrude E801BFE9048106FB3E39A1B076CB03648CE93D8F,220,216,220,216,216,216,220,220,220,220,220,220,220,252,252,220,252,220,220,220,252,220,190
GetYourAssToMars 63799328222647BE7ED9171FC9FDDED0B77AAFB5,5650,5650,7340,6600,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640
GhostAS 87972731E9063E649F8621C78B7E74514F70E275,2700,2400,2690,2400,2400,2400,2400,2300,2300,2300,2300,2300,2300,2400,2400,2300,2400,2330,2330,2340,2400,2320,2320
GhostNetKennel FC5B4F90D1A9BB6B5885CA6B4F4EC47D1783952D,1100,1100,1100,1100,1100,1100,964,964,964,964,964,964,964,1100,964,950,964,950,950,950,964,950,950
GibberfishInc ACDDC33428080D906C86357651D12DC49C460F4B,26000,23000,26000,23000,23000,23000,22000,22000,22000,22000,22000,22000,22000,24000,22000,22000,22000,21000,21000,21000,22000,21000,21000
GibblyInTokyo 7A7070CFFB0C882E507971298FA8DED05EF03945,270,240,270,240,240,240,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
GiftedRosebud FACC9EB242F4FDA0BD6508CCB86DABCE9E84677F,4890,4890,7100,5690,5680,5670,5660,5650,5620,5620,5620,5620,5620,6140,6150,5610,6200,5640,5400,4800,5460,4820,5510
Gihkal 6E2256A26DD4A31746DF3B70F223E5A3CE03F92E,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Gnampf 3760F67140B6662BFB38B9245C2B510455B88E45,78,60,78,60,60,60,60,60,60,60,60,60,60,80,80,66,80,66,66,66,79,66,66
GoElephantGoGoGo 81D8BDAEB86E16AAEC2EB4A395A791E43A73C351,110,110,110,110,110,110,110,110,110,110,93,93,93,110,110,93,110,93,93,93,110,93,93
Goetze 71352E96D8AD222E03AF404CA0ED6A2AC056F7D8,58600,51000,58500,51000,51000,51000,51000,51000,57600,57700,57700,58000,58100,70600,70600,64000,72900,64000,64000,64000,73700,62000,62000
Goetze2 D6D8F7602AFC644127E8A523CAC4D042DA1CF2C5,62000,61000,64000,60000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,66000,63000,63000,63200,66000,64200,64200
Goetze3 149E3D457E089AC49D55CA96415BB5A8A351D2AF,68000,65600,67000,65400,65300,65200,65000,64900,64500,64500,64500,68000,68000,71900,71900,68000,71000,68000,68000,68000,68000,63000,68000
GoingNowhere 75157DD0B9AD2F690EADA63A74C5FE0CAF5E0FE8,44,35,44,35,35,35,35,35,35,37,37,37,37,40,40,37,40,37,37,37,40,37,37
Goliath 1E03D81C9744DE0E3C9DE6E6FBDF1DF9DAEA5AFC,69000,69000,69000,69000,70000,70000,70000,70000,70000,69000,69000,68000,68000,69000,69000,68000,69000,68000,68000,68000,69000,68000,68000
GoodGuys 720DC9DECADE8C0C98A81E1860469C189D1241B9,214,170,214,170,170,170,170,180,180,180,180,180,180,241,241,180,241,180,180,180,211,180,180
GoodfellowTorRelay 138ED47EE2156E6492FDE0B61338D973C9717F32,18000,15000,18000,15000,14100,14000,14000,14000,13900,14300,14300,13000,14300,16800,16900,13500,17000,13600,13700,13800,17300,13900,13900
Grace 9D08006D9ECF3A2B592B3D624C7E0B35AB4D3697,9670,8190,9670,8190,8190,8190,8190,8190,8190,8190,8190,8190,8190,9160,9160,8190,8200,8190,8190,8190,8200,8190,8190
Graph D5D495761788480D0990654F4C4B6E5BD1126A78,14,14,14,14,14,14,14,14,14,14,14,14,14,11,14,14,14,14,14,14,14,14,14
Gravel 418DADED4C5DED6454D4C86F64A6A853CF2F6643,48,41,48,41,41,41,41,41,41,41,41,41,41,48,48,41,48,41,41,41,48,41,41
GrayBeard 2FED5000F7FB781A54F96D1A5022DD9FCEEE4652,7,6,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
GrayHavens C2E8155BBD06407AB17A768676B8D3A14A3713D3,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,90,90,89,89,89,89
GreasyRelayPi4 5FD8DA8E88DADB97D132A56ADE73DB60F21A9393,3300,3070,3300,3010,2990,2960,2960,2960,3300,3300,3300,3300,3300,3310,3310,3310,3310,3300,3300,3300,3600,3600,3600
GreatAttractor 3493739173BBED05D52F10E89531C802B9577F1C,274,250,274,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,230,250
GreateZtNinja A76038CEBB60AA8E6687C933D2B5C3E3DC52EF2C,34900,34000,34900,34000,34000,34000,34000,34000,34000,34000,34000,34000,31000,34000,34000,31000,31000,23000,23000,23000,23900,23000,23000
GreetingsFromNL033 08492A9ED1AEF62C56D783A42E827BC220292B19,7800,8110,11700,10300,10300,10300,10300,10300,10200,10300,10300,10300,10300,10300,10300,7800,10400,7800,7800,7800,10600,7800,7800
Gretel E554C9E6D91B591037FA075E091E3566E2552AFB,20,17,20,17,17,17,17,17,17,17,17,17,17,18,18,17,18,17,17,17,18,17,17
Grexit 087406A81770FB3496734F3E629B8A7A207CBAC3,30500,25400,30500,25400,25400,25400,25400,24000,24000,24000,24000,24000,24000,25400,25400,24400,25400,25000,25000,25000,28300,24400,24400
Grexit 12F845F4FEC5F848A3D3CFA6849FF579BC3234D9,16300,16300,16300,16300,16300,16300,16300,16900,16900,16900,16900,16900,16900,17000,17600,13900,17000,13900,13900,13900,17000,16500,16500
Grexit 6F5BA1D3C5DE761D4742519DF539ED2B89B233CF,14900,13900,14900,13900,13900,13900,13700,13700,13700,13700,13700,13700,13700,16700,16700,15000,16700,15000,15000,15000,16700,15000,15000
Grexit 84AD1DB2153D953E67F6D88C3FB4099DFC8C8F9A,13400,13400,13400,13400,13400,13400,13400,13400,13400,13400,13400,13400,13500,15600,15600,14000,15600,14000,14000,14000,15600,14000,14000
Grexit 8E60E2FE4551A6D0C7C6D8FD4F2B1AD42D80E3BA,14700,11000,14700,11000,11000,11000,11000,11000,11000,12000,12000,12000,12000,13700,13700,12000,13700,12000,12000,12000,12200,12000,12000
Grga 4280688117CB33E2D1A07CD84DDAD3B3FC9685AF,1700,1500,1780,1700,1700,1600,1500,1500,1500,1500,1500,1500,1500,1780,1780,1500,1780,1500,1400,1400,1400,1400,1400
GrmmlDag 021DDCD687FD505B7EA7E75DA6CEF0D778AA07FB,63100,61400,63100,60800,60600,60300,60000,60000,59700,47000,47000,47000,47000,59700,59700,47000,60100,47000,47000,47000,49700,47000,47000
GrmmlLitavis 8C00FA7369A7A308F6A137600F0FA07990D9D451,37500,37200,37500,37200,37200,37500,37500,37500,37500,37500,37500,37500,37500,40000,40000,37000,40000,37000,37000,37000,39900,37000,37000
GrmmlNott CBBA40F7D9F284F47A243EE2C081E96682741D22,52800,46000,52800,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,52300,52300,49000,52700,48900,49100,49300,49500,49000,49000
Gromit EFD258F21A1FB5F8C8065AF2C438CF151CC2D601,3240,1900,3270,1800,1800,1800,2510,2510,2510,2510,2510,2510,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
Growl 357CEBDA8C6A4548CA691A748F88450B64B94D02,495,370,495,370,370,370,370,370,370,370,370,370,420,513,513,420,513,420,420,420,547,420,420
GrvityImmune 989D1D15EB4C28F11FC620B622FED221DFAF2BA6,241,220,241,220,220,220,220,220,220,220,220,220,220,255,255,220,190,190,190,190,190,190,190
Gu1nn3zzRelay 7C5C0E83CA290FFF6D5E30D9E0E3FFC9BAE0D0C5,20900,20600,20600,19400,20400,20400,20400,20200,18000,18000,18000,18000,18000,19000,20500,19000,20000,19000,19000,19000,20000,19000,20000
GuavaSpace 9A5299A6BB8656D988EDDDBBBC51736EDD3EF434,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,960,980,927,927,927,930,927,927
GuruKopi 35449EB3D025CC24601FB43884F9699367D677CF,4,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,3,3
Gymli 672349A936B602C2527DAC4FAFC88A402AF81BEE,13,11,13,11,11,11,11,11,11,11,11,11,11,13,13,11,13,11,11,11,13,11,11
H4ck3rm4n0m3g4 5043E5D2E9CE99066DF1FBF0B18E065B08131863,20600,19000,20600,20500,20400,20400,20400,20400,20300,20300,20300,20400,20500,22400,22400,20500,22500,20700,20800,20900,22900,21000,21100
HANNIBAL 15415C2C440CC6F00A7CEC4E844730F6DEC6153B,4600,4100,4600,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4300,4100,3800,4100,3800,3800,3800,4100,3800,3800
HEGX60RelayA 5197E0B0E785E35477ACB683F36DE69B87E6BEFE,120,100,120,100,100,108,108,108,108,108,108,108,114,120,120,114,120,114,100,100,120,100,100
HORUS1 0C3D5E19E3C75B505C8ACD26F89DCA2DF970553E,70000,69000,69100,68800,68500,68200,69000,69000,69000,69000,69000,69000,69000,84400,84400,69000,84900,69000,69000,62000,86500,61000,61000
HORUS2 4488EEA8CA1674020D9FCC2A176E1FDB9606F0B3,13000,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,13000,13900
HOSTHATCHhWkekiAL9O 688D8003C7D9712AEC61CD6776BC06C762F66D1B,170,140,170,150,150,150,151,151,151,151,151,151,151,170,170,151,170,151,151,151,170,151,151
HRMB A6E0F950CAC74AF867CA21976069529D6D4D3E30,49000,42200,50000,49000,49000,49000,49000,49000,49000,49000,47000,47000,47000,51000,51000,47000,51000,46000,50000,50000,51000,50000,51000
HSB C5F76A7B459A68EDD255680325F6370B60E0BC3C,3450,3030,3500,2970,2950,2930,2930,2920,2920,2930,2930,2950,2950,2960,2970,2980,2990,2900,2900,2900,2900,2750,2750
HSLtor E43A346CB81DDF364B6FF68235AFADBA0E8692B8,63000,53300,63000,53300,53300,53300,53300,53300,60900,60900,60900,60900,60900,62000,62000,60900,63900,53400,53400,53400,62000,53400,53400
Hack2G2 87D28EE0C993B250EF93DBE4D2CB0E30244D757C,3100,2900,3000,2700,2200,2200,2200,2200,2200,2200,2200,2200,2130,2130,2130,2130,2130,2200,2200,2200,2200,2200,2200
Haggar E432C6B90254DD0675F86D3E4D5F3A2CA100DE8B,41700,37900,41700,37500,37400,37400,37400,37300,37200,37300,37300,37400,37500,43500,43500,37600,43800,38000,38100,38200,44600,38600,38600
Hairytrotter CDAF0B74C45FD5B1955198A8D92C8A518A53D07B,36000,35700,36000,35600,35600,35500,35400,35400,35200,35200,35200,35200,35200,36000,36000,35100,36000,35300,35300,35500,36000,36000,36000
Hakkapeliitta 35E98FB0B591DF3B357FFEDD3DADB10DAD027D7D,6080,6200,6520,6200,6410,6390,6380,6370,6380,6510,6520,6540,6550,6920,6950,6550,7000,6610,6620,6200,7160,6000,6000
Haku 30F4D8747213A1D43E414D2D4192E55E5FAE68AC,220,210,220,210,210,210,190,190,190,190,190,190,190,220,220,190,194,190,190,190,194,190,190
Halo3Valhalla 0C6842CCF836DE08EFEA0BD6C1471AE3463B9B71,7210,5700,7390,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,7390,7390,5700,7390,7390,7390,7390,7390,7390,7390
Hank F6912470A4F8546EF3F0F8ED89A2B566D6267842,13000,13000,13000,13000,14000,16400,16400,16400,16300,16300,16300,16400,16400,16400,16500,16500,16600,16700,16700,16800,16800,16900,13600
HappyJap A8BFE1E65C6DC3C7A50F8DFA0BF57F0A118144A5,1300,1270,1300,1270,1270,1270,1300,1300,1300,1300,1300,1300,1270,1490,1490,1300,1490,1300,1300,1100,1490,1490,1490
HappyNode11 8C35B15C1F138BDE4D50A975129E4773B44A503D,2830,2340,2840,2300,2290,2280,2280,2270,2280,2280,2280,2290,2290,2970,2970,2310,2990,2320,2330,2340,2700,2370,2370
Harambe 34133CC3192CF7538089B14511400DF21BA5A077,47900,31000,47900,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,37700,37700,31000,32200,31000,31000,31000,43000,31000,31000
HardKitty 15CBD7508DDCBA816975565787D38403BB32D40C,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,135,135
Harlan EA4584960E5C815A383B91BD9C03FB489FE686EF,497,340,497,340,340,340,340,340,340,340,340,340,340,471,471,420,471,420,420,420,435,420,420
Harlock B81B38902BF026BF2591CA2D73B99CEEB03F0869,9190,8200,9180,8200,8200,8200,8200,8200,8400,8400,8400,8400,8400,8970,8970,8400,9030,7300,7300,7300,9200,7300,7300
HarryPottor BF37445EA2A9F3D04F4B87DFAC624AEF21B559D5,51000,48000,51000,48000,48000,48000,47200,47200,47000,47000,47000,47000,47000,49000,49000,47000,49000,47100,47200,47300,49000,49000,49000
Hasle 856DAB2FDC9EED88A27BE2265FA6BD5489EF178E,12000,12000,12200,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12100,12100,9700,12200,9700,9700,9700,12300,9700,9700
HassoBarks 2A0FAD3CA7A190C43D8ED7896727BD426E8C2EFA,2720,1800,2100,1800,1800,1800,1800,1800,2000,2000,2000,2000,2000,2650,2650,2000,2660,2000,2000,2000,2710,2000,2000
HastingsM1 EB02A807CFA6EB86C2FC4EA86EB92795EDA282EA,888,888,888,888,888,888,888,888,888,888,888,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1100
HaveHeart 204DFD2A2C6A0DC1FA0EACB495218E0B661704FD,47000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
HazelFox001 D267AAA0034D14A961FA3DBB93BDF8C56ED29E68,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,240,240,240,220,220,240,220,220
Hecker 348439F4A3D959E6D1481070DA81A135343419CB,49000,46000,49000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,48000,48000,47800,48000,46000,46000,46000,48000,46000,46000
HeeJin BE3B9024A0EBBE72FF212979FB695FC6117E1EF5,420,420,420,420,420,420,490,490,490,490,490,420,420,502,502,420,502,357,357,357,457,420,420
HefeweizeIstGut A789A48FCB27836A9652C666F940545610344723,67,46,67,46,46,46,46,46,46,46,46,46,46,57,57,46,57,46,46,46,57,46,42
HeirloomReaper F4B2C30D7EE708D5129141F7796ACFD11B0165F3,311,280,311,280,280,280,280,280,280,280,280,280,280,302,302,260,302,302,302,302,302,302,302
HeliosReaper FBD20387F64D67ED53AC5BD2E0302D44B2DA360C,10600,10600,10600,10600,10600,10600,10500,10500,10500,9580,9580,9610,9630,9620,9650,9660,9720,9770,9790,10600,10600,10600,10600
HellGuard 499FA01433320491216225801FE0589C250B4D6D,4100,3000,3200,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3200,3200,3000,3300,3200,3050,3050,3200,3050,3050
HelpCensoredOnes 05FFA39D71DA116F7669EA4EE53A0BAEA315BA7F,1060,1060,3000,3580,3580,3200,3200,3200,3200,3200,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,9640,4300,4300
Henry1 8FC0834735318C924D4DAFFB77C04A6606C7880B,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,690,690,690,690,690,690
HenryIV C40562064A8F2FDFEA75CC6FAED47AF1AE058B32,13000,12200,13000,12200,12200,12200,11900,11900,11900,11900,11900,11900,11900,12000,12000,11900,12000,11900,11900,11900,12000,11900,11900
HerbieStone 038D32F1148AFC3D8CDA0C74B46F16133B9678C7,231,190,231,200,200,200,200,200,200,200,200,200,200,252,252,190,252,190,190,190,252,190,178
Hermes 09F64E00F34C88F604163F24D37BEAF9245702EA,7280,7310,7300,7290,7270,7260,7240,7230,7190,7190,7190,7200,7190,7180,7180,7180,7200,7220,6990,7050,6200,6200,6200
Hermes 0ED4CA8A8E6CE2D28D6D23B20815AE3982646FCB,52000,40700,52000,52000,47000,47000,47000,47000,47000,47000,47000,47000,47000,52100,52100,47000,47000,40700,37000,37000,46000,46000,46000
HexFromHEMEuropa DCAA1CED7183B561D18CF580BE9933BD9168D101,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1620,1600,1320,1320,1320,1240,1240,1240,1240
